Protein,CRC01-N,CRC01-T,CRC02-N_fixed
NUTM2E,11.0,9.0,10.0
NUTM2F,67.0,76.0,90.0
NUTM2G,4.0,7.0,9.0
NVL,96.0,98.0,153.0
NWD1,162.0,176.0,247.0
NWD2,174.0,187.0,256.0
NXF1,64.0,61.0,94.0
NXF2,68.0,79.0,101.0
NXF3,50.0,48.0,70.0
NXF5,18.0,21.0,32.0
NXN,34.0,43.0,63.0
NXNL1,19.0,17.0,23.0
NXNL2,29.0,28.0,31.0
NXPE1,69.0,73.0,92.0
NXPE2,83.0,74.0,93.0
NXPE3,34.0,35.0,51.0
NXPE4,77.0,83.0,104.0
NXPH1,25.0,26.0,47.0
NXPH2,22.0,22.0,29.0
NXPH3,17.0,25.0,24.0
NXPH4,16.0,18.0,35.0
NXT1,5.0,8.0,6.0
NXT2,9.0,10.0,9.0
NYAP1,92.0,105.0,126.0
NYAP2,45.0,49.0,83.0
NYNRIN,174.0,193.0,239.0
NYX,29.0,35.0,44.0
OAF,17.0,19.0,27.0
OARD1,26.0,32.0,38.0
OAS1,38.0,35.0,50.0
OAS2,64.0,74.0,79.0
OAS3,93.0,89.0,123.0
OASL,39.0,39.0,65.0
OAT,62.0,62.0,70.0
OAZ1,31.0,36.0,41.0
OAZ2,25.0,32.0,33.0
OAZ3,18.0,20.0,33.0
OBI1,78.0,86.0,111.0
OBP2A,5.0,7.0,11.0
OBP2B,14.0,15.0,26.0
OBSCN,659.0,645.0,883.0
OBSCN-AS1,22.0,18.0,22.0
OBSL1,180.0,194.0,243.0
OC90,28.0,31.0,44.0
OCA2,62.0,75.0,92.0
OCC1,6.0,6.0,7.0
OCEL1,14.0,16.0,24.0
OCIAD1,21.0,19.0,29.0
OCIAD2,24.0,18.0,26.0
OCLN,30.0,30.0,51.0
OCM,22.0,21.0,21.0
OCM2,3.0,2.0,2.0
OCR1,9.0,12.0,24.0
OCRL,111.0,113.0,166.0
OCSTAMP,56.0,60.0,63.0
ODAD1,78.0,74.0,102.0
ODAD2,94.0,85.0,129.0
ODAD3,70.0,80.0,109.0
ODAD4,85.0,79.0,112.0
ODAM,4.0,6.0,6.0
