Protein,CRC01-N,CRC01-T
ANKRD9,19.0,22.0
ANKS1A,81.0,76.0
ANKS1B,119.0,132.0
ANKS3,67.0,75.0
ANKS4B,39.0,40.0
ANKS6,81.0,88.0
ANKUB1,55.0,54.0
ANKZF1,56.0,67.0
ANLN,147.0,153.0
ANO1,92.0,88.0
ANO10,43.0,51.0
ANO2,75.0,91.0
ANO3,82.0,74.0
ANO4,84.0,78.0
ANO5,67.0,79.0
ANO6,102.0,103.0
ANO7,73.0,78.0
ANO8,58.0,67.0
ANO9,65.0,74.0
ANOS1,89.0,82.0
ANP32A,21.0,15.0
ANP32B,19.0,22.0
ANP32CP,17.0,17.0
ANP32D,12.0,12.0
ANP32E,14.0,13.0
ANPEP,98.0,103.0
ANTKMT,24.0,22.0
ANTXR1,55.0,52.0
ANTXR2,50.0,49.0
ANTXRL,38.0,44.0
ANXA1,34.0,34.0
ANXA10,29.0,35.0
ANXA11,47.0,49.0
ANXA13,47.0,44.0
ANXA2,18.0,20.0
ANXA2P2,63.0,54.0
ANXA2R,19.0,29.0
ANXA3,57.0,60.0
ANXA4,49.0,55.0
ANXA5,37.0,39.0
ANXA6,114.0,125.0
ANXA7,53.0,55.0
ANXA8,38.0,38.0
ANXA8L1,3.0,4.0
ANXA9,70.0,65.0
AOAH,56.0,57.0
AOC1,74.0,81.0
AOC2,65.0,69.0
AOC3,30.0,31.0
AOPEP,80.0,80.0
AOX1,117.0,129.0
AP1AR,24.0,23.0
AP1B1,53.0,57.0
AP1G1,39.0,49.0
AP1G2,54.0,57.0
AP1M1,50.0,58.0
AP1M2,31.0,38.0
AP1S1,2.0,2.0
AP1S2,16.0,17.0
AP1S3,5.0,2.0
AP2A1,77.0,80.0
AP2A2,90.0,96.0
AP2B1,78.0,80.0
AP2M1,44.0,40.0
AP2S1,19.0,22.0
AP3B1,122.0,127.0
AP3B2,127.0,114.0
AP3D1,105.0,102.0
AP3M1,30.0,30.0
AP3M2,33.0,33.0
AP3S1,13.0,15.0
AP3S2,19.0,22.0
AP4B1,78.0,70.0
AP4E1,109.0,98.0
AP4M1,68.0,62.0
AP4S1,18.0,14.0
AP5B1,59.0,53.0
