Protein,Mean_Normal,Mean_Tumor,Log2FC,T_statistic,P_value,Neg_log10_P,Significant
SQOR,28.525354654805795,28.933873706237023,0.40851905143122735,1.4086367854675472,0.17065316875545636,0.7678856431589582,NS
SRBD1,23.466017362821752,25.134726964991927,1.6687096021701748,4.1761298344529,0.0002695118094019094,3.5694222002519482,Up
SRI,26.194937853738715,27.222778529930338,1.027840676191623,2.5531585235566254,0.01632009898145444,1.787277211576697,Up
SRP14,25.170921056614254,26.662413955325633,1.4914928987113782,6.418719208938347,4.352942780853516e-07,6.361217041577475,Up
SRP19,19.52889386836251,21.536188093741025,2.0072942253785158,2.648680413987634,0.012874472564978257,1.8902705538837805,Up
SRP68,21.02175670106038,22.266337530134777,1.2445808290743976,3.855488157808898,0.0006204602205478639,3.2072860571150508,Up
SRP72,23.075238483895383,24.320817713590312,1.245579229694929,5.626490123477642,6.291787940955454e-06,5.201225923306359,Up
SRP9,22.44006693746519,23.368471474673896,0.9284045372087064,1.9265577399562408,0.06487824945527376,1.187900876771182,NS
SRPRA,19.423202259061163,20.864990767737147,1.4417885086759838,2.834985972240892,0.00812747486324299,2.090044365021223,Up
SRPRB,24.489875194980428,26.15743916030427,1.6675639653238434,6.464376833238118,1.2503668993906141e-06,5.902962531791717,Up
SRRM1,22.387011750888867,24.23730469202188,1.850292941133013,3.422482826628762,0.0032269804045922984,2.491203671783351,Up
SRRM2,23.652612317926877,24.573711550685317,0.92109923275844,4.585108809391683,8.003665494267681e-05,4.096711070589232,NS
SRRT,22.752362952579077,24.66230220775471,1.9099392551756331,8.170790832770024,1.0611201339949892e-08,7.974235444960482,Up
SRSF1,25.23665252519065,26.519827141781438,1.283174616590788,4.985321969128715,3.0528936186691296e-05,4.515288328891618,Up
SRSF3,26.956740644206555,28.334697247698486,1.3779566034919313,6.032161390037392,1.5659481846339127e-06,5.805222612329076,Up
SRSF4,23.727137327031304,25.381240880417895,1.6541035533865909,3.048577766499804,0.004850110889672398,2.314248331867369,Up
SRSF6,22.66375005965495,23.961979703935366,1.2982296442804149,3.9504626691576976,0.0004377028669654706,3.3588206087371124,Up
SRSF7,25.50610880413644,27.052340307662384,1.546231503525945,6.828084276418879,3.043257722677767e-07,6.516661267228652,Up
SRSF9,22.62702970567993,24.856283211850993,2.2292535061710623,5.895415647543911,4.016073597454441e-06,5.396198337029503,Up
SSB,25.97540183844989,27.728655804526504,1.7532539660766133,7.425374007113474,7.419197718614331e-08,7.129643054992772,Up
SSBP1,25.327207899500188,26.910868177878655,1.583660278378467,6.520820112603674,3.284124746153228e-07,6.48358035473864,Up
SSH3,23.731293650586547,25.369249017504643,1.6379553669180957,3.671777491411346,0.0009334707712246339,3.029899276102249,Up
SSR4,25.44697292614564,27.18772408055579,1.7407511544101482,6.111399939250995,1.447909345717862e-06,5.839258628668551,Up
SSRP1,25.65919618476201,25.45052116456071,-0.20867502020130146,-0.8851264505651623,0.38342111904384296,0.4163239696227886,NS
ST13,26.84996568063592,27.221616953831486,0.37165127319556746,1.8792165881300495,0.07156183782812736,1.145318514550091,NS
ST14,22.411241007989457,23.699803026412944,1.2885620184234874,2.099764487934841,0.04633429660350877,1.3340974255754992,Up
STARD10,23.309981712763225,24.087721590940205,0.7777398781769804,1.3207442085548446,0.19671929976638952,0.7061530301626613,NS
STARD5,19.961470008142857,20.377607359978775,0.4161373518359177,0.6887904968699076,0.4969491869363656,0.3036880156154098,NS
STAT1,26.180377131904056,27.868419022390977,1.6880418904869217,6.964876834899369,1.233158552992362e-07,6.908981080531,Up
STAT3,23.75235290200748,24.873202138401485,1.1208492363940046,4.679345075491116,0.00012469606816591715,3.904147240192401,Up
STAT5A,21.159135717263975,20.81161843298655,-0.34751728427742634,-0.5758432174861796,0.5708297526940006,0.24349339874226097,NS
STAT5B,21.0168088478558,21.532801390261227,0.5159925424054279,2.3481403801980583,0.026847838161148514,1.5710906787719836,NS
STAT6,19.095525508823037,20.36325268595531,1.2677271771322722,2.3044340616370915,0.028800164385171093,1.540605033373791,Up
STIM1,22.1450664167446,22.195650564800047,0.050584148055445866,0.1969173456898955,0.8452597256215345,0.07300982350869938,NS
STIP1,28.111115617027302,29.10508584146271,0.9939702244354081,6.011251923415222,2.0155710434610946e-06,5.695601889528114,NS
STK26,21.207066765291792,23.513973202034812,2.30690643674302,4.902943802188644,8.274986414175952e-05,4.082232710573786,Up
STK3,21.357757820219266,21.895214777005922,0.5374569567866558,0.9243213958446908,0.3627389928106153,0.4404057572062555,NS
STK38L,22.06600151020877,21.885081467083523,-0.1809200431252478,-0.831457335606493,0.41296794042265067,0.38408366223698526,NS
STMN1,25.763897760315423,27.357020353654608,1.593122593339185,8.86427057643632,1.7384182562938479e-09,8.759845725846501,Up
STMN2,23.88767576683007,25.999721082900482,2.112045316070411,8.869690770573314,1.141363662446529e-08,7.942575958184615,Up
STOML2,23.147258305267094,25.303454719226263,2.1561964139591687,4.778785344551508,5.838680316105551e-05,4.233685302921704,Up
STRAP,25.40742412793099,26.253955925856925,0.8465317979259339,3.9165240411617654,0.0005139461891052382,3.289082349872512,NS
STRBP,23.2172076922103,25.179822079567302,1.9626143873570001,4.0507586986243895,0.00034024122220279124,3.468213070233562,Up
STT3A,25.04891005095527,26.451518869831418,1.4026088188761463,4.417153551950526,0.0002188832316953298,3.659787507783955,Up
STT3B,24.05470095910575,25.35275951513132,1.2980585560255697,4.846257190081765,5.35785193652667e-05,4.271009292227984,Up
STUB1,21.107355828454175,23.778878843716267,2.6715230152620926,3.895726317612254,0.0005146719586254686,3.2884694931952874,Up
STX7,24.93218503761174,24.192308529327445,-0.7398765082842971,-2.9244187599557128,0.007170370476507626,2.144458404758099,NS
STXBP3,21.39522358305023,21.716622528091534,0.3213989450413024,0.47889805947338215,0.6354854064318168,0.19689441832619003,NS
STXBP5,27.82642799167826,24.576123294365292,-3.2503046973129663,-4.305130071444969,0.00016514125629827438,3.782144415868647,Down
SUB1,26.08318769945705,27.618741916979776,1.5355542175227264,4.791955315343759,5.0470027458065243e-05,4.2969664589896555,Up
SUCLA2,26.184920245824078,27.01788716802151,0.8329669221974321,3.1402720424335184,0.004042164911019397,2.393385972244578,NS
SUCLG1,27.250707032396488,27.555324867453095,0.30461783505660733,0.7853758731652478,0.43888058495612464,0.35765363089556157,NS
SUCLG2,28.474959540883788,28.79068264474178,0.31572310385799085,1.0019653793429508,0.3246113543204735,0.48863629340539516,NS
SUGT1,23.86848716092404,24.951218172072572,1.0827310111485318,2.105302586331121,0.04531736207635468,1.3437353783546668,Up
SULT1A1,25.176207216476282,25.139794032207796,-0.036413184268486276,-0.10672663258798824,0.9157173234209356,0.038238569809116094,NS
SULT1A3,25.124507460639343,25.20553781442039,0.0810303537810455,0.2290069401921988,0.8206046005987779,0.08586605255426104,NS
SULT1B1,26.121170166907632,26.104921284294246,-0.016248882613385973,-0.03719314107729775,0.9706117160592006,0.012954470707575513,NS
SUMF2,21.247082285215686,22.455333487541132,1.208251202325446,3.4546721469214288,0.0018552851104457109,2.7315893408313237,Up
SUMO1,22.270402247691514,22.28922511500242,0.018822867310905878,0.0333763312209186,0.9736624604724518,0.011591573881904939,NS
SUMO2,22.47746421485894,24.79726345404633,2.3197992391873896,7.519819841043333,2.8755935702869156e-07,6.54127249612464,Up
SUMO3,26.253955154943174,27.47271104403608,1.2187558890929076,5.784523265460261,6.509808043855296e-06,5.18643181738012,Up
SUPT16H,22.694872239286,23.886572052445228,1.1916998131592287,5.4596420298344865,7.93811428024269e-06,5.100282653108178,Up
SURF4,24.8820844712597,25.98654834580939,1.1044638745496904,4.214083336205787,0.00027327384053825796,3.5634019396708045,Up
SVIL,25.113089555658192,24.572195939996632,-0.5408936156615596,-1.4355919963059998,0.16176131127148627,0.7911253412556545,NS
SWAP70,22.37264833850667,24.047751556797422,1.6751032182907508,5.133986694026439,3.326484501383919e-05,4.478014495659724,Up
SYAP1,21.19498887137609,23.849888896247634,2.6549000248715444,4.924129112149074,7.475309208344209e-05,4.126370838495134,Up
SYNCRIP,26.250702124291582,27.853648749855264,1.602946625563682,7.1413606923000525,7.186920279031243e-08,7.1434571725314315,Up
SYNM,30.194945245117005,28.026286424060572,-2.1686588210564324,-5.479229265734995,2.6720580210926605e-05,4.573154115819697,Down
SYNPO2,29.658135998145525,26.834373054183438,-2.8237629439620875,-6.122915545332166,3.4705592592786874e-06,5.459600535685188,Down
SYPL1,25.33897958863587,25.507109087887642,0.16812949925177278,0.7906631633834039,0.43649524351717495,0.3600204844337819,NS
TAGLN,33.036719328820105,30.411138837569865,-2.62558049125024,-5.165502155068632,2.2847388943680807e-05,4.641163425009676,Down
TAGLN2,29.14795094526149,30.526979172713517,1.3790282274520287,8.273481879564935,3.27293468199255e-09,8.48506266182712,Up
TALDO1,28.530178617855555,29.777632299234114,1.247453681378559,4.450257660456923,0.00011390970084067094,3.9434392887200893,Up
TAP1,20.062223827158945,23.888458640902215,3.8262348137432696,6.423042902093979,4.98714994718244e-07,6.30214757377985,Up
TAPBP,23.123028447443254,24.936061686191312,1.8130332387480586,7.22338980872508,5.6950229300088064e-08,7.244504522970965,Up
TARDBP,23.542298596111877,24.86419993846252,1.3219013423506425,5.763648224963938,4.693223706759814e-06,5.328528744254193,Up
TARS1,24.69575884598748,25.811788867132694,1.1160300211452139,6.078843346561267,1.1314344571470943e-06,5.946370599220344,Up
TARS3,20.67653648326965,21.70375256209919,1.0272160788295395,2.598002957393981,0.014488994125545976,1.8389617636584434,Up
TAX1BP3,23.965107751851644,24.869410538042736,0.9043027861910922,3.6993898743964473,0.0009454872700353254,3.0243443140856057,NS
TBCA,24.147946631759247,25.41209871890904,1.2641520871497924,3.255794303962224,0.002951744052094281,2.529921303211534,Up
TBCB,23.39673060539097,23.19718489290875,-0.19954571248221953,-0.5171369764153974,0.6092160737907638,0.21522864659249588,NS
TBR1,20.000762443061987,22.922402189764142,2.921639746702155,5.5188783462361926,3.6062310800954724e-05,4.442946447997715,Up
TCEA1,21.631224334646614,23.665858825365746,2.0346344907191316,4.135343733924049,0.0005375541547165615,3.269577777161488,Up
TCEA3,23.86476663641551,25.022794137960865,1.1580275015453552,3.579322262581769,0.0012381863629918285,2.9072139834841644,Up
TCP1,27.390103072598624,28.50790950547613,1.1178064328775044,6.428791619118735,4.374425941043537e-07,6.359078931669089,Up
TECR,25.5975762224082,25.538071344884813,-0.059504877523387734,-0.07296400666397164,0.9426259588297159,0.02566060444348736,NS
TES,28.435991012480834,28.251388483803545,-0.18460252867728855,-1.1123781874078236,0.27620713110310896,0.5587651130175226,NS
TF,31.829863394100233,30.91227092341712,-0.9175924706831147,-4.84749555488945,3.699341896182142e-05,4.4318755289810134,NS
TFG,24.668333049485977,25.766798774462856,1.0984657249768794,4.6613960864646655,6.620137615827168e-05,4.179132982588523,Up
TFRC,25.18854641487584,27.78469651445759,2.596150099581749,6.513398414240599,3.4525189329206165e-07,6.461863931159062,Up
TGFB1I1,26.858941527749113,26.943393192331648,0.08445166458253439,0.3181826542754996,0.7525548045833921,0.12346186721389742,NS
TGFBI,28.542131712720625,29.111795447023155,0.5696637343025301,1.935749752968176,0.06346641995333775,1.197455998903018,NS
TGM2,27.45026704565484,27.664240269061867,0.2139732234070273,0.971161979961732,0.3394889299550331,0.4691743826141914,NS
TGOLN2,22.78627904995428,24.755217502117894,1.9689384521636129,5.712325537607729,3.386374090363212e-06,5.47026506737108,Up
THBS1,22.459694347697486,23.534412639972153,1.0747182922746674,3.2283626744176894,0.003037582203173468,2.517471960339618,Up
THOP1,26.212464707082546,23.455082019176405,-2.7573826879061407,-3.372393933755658,0.0037622166880509644,2.4245561945074083,Down
THRAP3,23.98018205721055,25.5515421144701,1.5713600572595503,5.403060041685585,3.176686706483418e-05,4.498025614368519,Up
THUMPD1,21.07792458324969,22.094541933823628,1.016617350573938,3.3923866175756054,0.0020902286157111396,2.6798062109645606,Up
THY1,25.645313099727186,26.690532575867707,1.0452194761405202,3.696209033738554,0.0010489854463949107,2.9792305371584225,Up
THYN1,22.034173265130512,23.211725665600994,1.177552400470482,3.062443100659134,0.0063438027453701475,2.1976503294623826,Up
TIA1,22.570747783618934,23.879264750112373,1.308516966493439,5.202368809478318,1.3390386082841096e-05,4.873206900864752,Up
TIAL1,23.502088833105816,23.995310792220877,0.4932219591150613,1.2556909698049592,0.2190748502720517,0.6594074764556743,NS
TIMM13,24.060752589099174,25.78337792283816,1.7226253337389856,5.161503331120425,1.4931189473895012e-05,4.825905593388705,Up
TIMM44,23.859308889126687,25.02229731160136,1.1629884224746725,3.84773682672138,0.0005865623936723191,3.2316857844242355,Up
TIMM50,23.911246977143183,24.812878566503347,0.9016315893601643,2.449819731592383,0.020966617055085405,1.678471636908486,NS
TINAGL1,24.792863615217506,23.619128996946294,-1.1737346182712116,-4.415646855272549,0.00012124289373375443,3.9163437067682545,Down
TJP2,20.289088578537843,22.39966543548838,2.110576856950537,5.5095539954142145,5.74548840172436e-06,5.240673047714033,Up
TKFC,22.90574411596957,24.38479541633411,1.4790513003645422,3.6462781357308756,0.0009991428855459323,3.00037239969515,Up
TKT,28.43151456665686,29.453015506310194,1.021500939653336,5.484497052190478,6.955869121474668e-06,5.157648598083369,Up
TLN1,31.373700444651412,30.99951078549276,-0.37418965915865243,-1.459370292891337,0.15500575862941063,0.8096521670263571,NS
TLN2,27.428317798837185,26.021344150198907,-1.406973648638278,-5.50284992009687,5.875806935269473e-06,5.230932482508161,Down
TM9SF2,25.352403320284395,26.518125748548197,1.165722428263802,4.59743944058672,7.661657942647979e-05,4.115677241146538,Up
