Protein,F_statistic,P_value,FDR,Significant
ANP32A,4.879611081849882,0.023316156798671064,0.06438602507815964,False
ANP32B,9.983227523167395,0.0017510453935461058,0.014390327379436723,False
ANP32CP,2.3307861998943507,0.13138554646211031,0.22068820360628152,False
ANP32E,9.46972632584481,0.0021897684151304443,0.01609653948959205,False
ANPEP,0.1520260393628649,0.860272779261559,0.8997422232538964,False
ANXA1,0.7212588106960314,0.502252460716498,0.6074888994264518,False
ANXA11,8.282244879841695,0.003773059403411317,0.020812381993137983,False
ANXA2,0.00394939451661542,0.9960594294713219,0.9969519558418158,False
ANXA2P2,0.41983270957062396,0.6646444991655761,0.7447875168295143,False
ANXA3,11.29063476930808,0.0010195266688370838,0.011977379337084381,False
ANXA4,8.864169656877571,0.0028757734819758666,0.01819965427403424,False
ANXA5,0.5185583298334193,0.6056716971827111,0.6967407680258375,False
ANXA6,5.896035146362614,0.012901416270340405,0.04342004067738399,False
ANXA7,0.9960540003789987,0.39249126399125756,0.5019035396430849,False
AOC1,0.08396329591608269,0.9198940437217774,0.9409538890450782,False
AOC2,16.81155648328108,0.00014769430286948698,0.004999228372885362,True
AOC3,24.084521008894267,2.0744466135676245e-05,0.0018537254938840292,True
AP1B1,3.4328728461798064,0.05921779703145291,0.12445207767475618,False
AP1G1,2.6702408965530338,0.10185331676885605,0.18409410166798093,False
AP1M1,8.25648139956812,0.0038195760991063285,0.02084744679948183,False
AP1M2,0.1852133728538503,0.8327986299226207,0.8775811977580823,False
AP1S1,0.41008764335763903,0.6708103570206468,0.7499621863136803,False
AP2A1,0.17983410220352422,0.8371835492629411,0.8799570292426494,False
AP2A2,0.5739744587530914,0.5751805493125727,0.6713444865017175,False
AP2B1,0.36659548925315283,0.6991306383334924,0.7705268110690785,False
AP2M1,0.6818639144199221,0.5206760327080271,0.6230263830046773,False
AP2S1,1.5210312868442064,0.2503445017693447,0.360018193227875,False
APCS,22.59198080880064,2.9824876508219552e-05,0.002379599075691517,True
APEH,1.89435972725908,0.18469518762247777,0.2843618533071091,False
APEX1,3.1565711786987922,0.07175105643062472,0.14299006250313614,False
API5,2.1078650293040866,0.15604784454266837,0.25079919763188574,False
APMAP,11.697669103979687,0.0008681518839037029,0.011146271888740645,False
APOA1,6.169095162544473,0.01108948104069688,0.039765490601792665,False
APOA4,2.528635299604329,0.11314768944403754,0.19904900571314554,False
APOB,4.192822443015379,0.035773737307961836,0.08639840988755323,False
APOBR,0.6741278503551031,0.5243832117380032,0.6261208418079632,False
APOC1,0.8121117367305546,0.4625132518035234,0.572440224115829,False
APOD,2.9477567572370824,0.08323128099295712,0.15937018701331485,False
APOE,1.4303381963799304,0.27005372947371165,0.37871941722804253,False
APOH,7.524157745339331,0.005457999159506745,0.02586188259303779,False
APOL2,5.186269625952045,0.019406845351673523,0.05689618440372526,False
APRT,3.519963178027843,0.05579668536048856,0.11882725938544467,False
AQP1,8.969947233595498,0.002740109491720041,0.017898843872814537,False
ARCN1,5.973715226105164,0.012353904644977255,0.04245941996442952,False
ARF3,3.477446361440959,0.05743803151895813,0.12162707337758527,False
ARF4,4.636637922303044,0.0270533784668168,0.07027586918007991,False
ARF5,1.3844595466820533,0.28068995352955606,0.3885138514157548,False
ARF6,0.7123014415707195,0.5063757023612502,0.6111901176510203,False
ARFGAP1,2.615093144107229,0.10609265752433442,0.18989056793883213,False
ARFGEF1,2.055975166541501,0.16251628344558375,0.2595149229574225,False
ARFGEF2,19.741533231123384,6.291046148343192e-05,0.003268417929162486,True
ARFIP1,9.083824882766034,0.0026021013119901493,0.017391214063107965,False
ARHGAP1,3.7215445242073657,0.048704007558294744,0.10860026803890184,False
ARHGDIA,7.237048864039696,0.006307838260012146,0.027885299928122373,False
ARHGDIB,4.385911068342551,0.031638501206243064,0.078623509294873,False
ARHGEF1,3.665738305462315,0.05055960103722239,0.11129502277180056,False
ARL1,0.7764647884716028,0.4776644689557376,0.5859980360500372,False
ARL6IP1,2.0608973824317673,0.16188982312670744,0.258884656309996,False
ARL8A,0.0560320882841676,0.9457057369489619,0.957078594795038,False
ARL8B,1.3443809320448923,0.29037129300132875,0.39817064935227015,False
ARPC1A,2.0338425752228892,0.16536730615181763,0.2627528890065154,False
ARPC1B,9.379416486552042,0.002279180688561307,0.01646788225090412,False
ARPC2,7.594244600757294,0.005270770418450403,0.025301421038421555,False
ARPC3,5.817899362748712,0.013480050196167728,0.04493653727773932,False
ARPC4,3.972789432677122,0.04125169562008075,0.09539988407376852,False
ARPC5,4.400594214508912,0.031346901816812975,0.07815734225308056,False
ARPC5L,1.7158187662956301,0.2132824072587917,0.3184979263476876,False
ARRB1,2.3979865122370456,0.12484123114665323,0.2137128815184853,False
ARSL,5.965773038794994,0.012408657520269378,0.04254903477384358,False
